Country;Reference;M2004;M2005;M2006;M2007;M2008;M2009;M2010;M2011;M2012;M2013;M2014
Brunei Darussalam;2004-2014;19.9;18.7;17;16.2;17.1;17.4;16.6;17.1;17.3;16.4;16.7
Cambodia;2004-2014;33.6;28.5;28.5;26.4;24.7;24.7;22.5;0;25.9;25.7;0
Indonesia;2004-2014;20.2;20.1;17.7;18.7;18.6;18.2;18.2;0;20.4;18.8;0
Lao's PDR;2004-2014;34.8;34.7;33.7;32.6;31.6;30.7;22.8;0;28.1;27.2;0
Malaysia;2004-2014;; 19.1;18.5;18.1;17.6;20.4;20;20.3;17.1;17.2;0
Myanma;2004-2014;23.2;17.3;18.2;20.5;20.3;17.3;0;17.4;17.2;0;0
Philippines;2004-2014;24.6;25.6;24.1;25.8;24.7;24.4;25.1;0;24.6;24.4;0
Singapore;2004-2014;11.4;10.4;10.1;10.3;10.2;9.9;9.3;9.5;10.1;9.3;9.8
Thailand;2004-2014;14.5;13;12.9;14.6;14.5;14.4;12.1;12.4;12.5;10.2;0
Viet Nam17.2;2004-2014;19.2;18.6;17.4;16.9;16.7;17.6;17.1;16.6;16.9;17;17.2
